object,role,stream_id,input_bytes,initial_ref_frames,initial_full_frames,semantic_misses,repair_full_frames,forward_protocol_stream_bytes,reverse_repair_control_stream_bytes,measurement_control_stream_bytes_excluded,diagnostic_stats_stream_bytes_excluded,client_ttfb_from_session_ms,client_completion_from_session_ms,client_stream_duration_ms,server_completion_ms,reconstruction_ok,tls_exporter_live,tls_exporter_outputs_match,sender_drain_batch_bytes,mode,round,execution_order
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1138,160.717,353.238,247.365,164.228,True,True,True,65536,multiplexed,13,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1136,161.847,371.521,263.176,183.35,True,True,True,65536,multiplexed,13,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1139,163.096,370.474,259.847,180.945,True,True,True,65536,multiplexed,13,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1140,203.279,372.461,259.782,177.384,True,True,True,65536,multiplexed,13,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,618.424,5474.256,5426.02,5313.028,True,True,True,65536,sequential,13,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,5520.836,5572.473,96.581,50.684,True,True,True,65536,sequential,13,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1136,5617.17,5668.529,95.87,50.371,True,True,True,65536,sequential,13,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,5713.277,5764.616,95.906,50.377,True,True,True,65536,sequential,13,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1137,5809.381,5860.786,95.991,50.516,True,True,True,65536,sequential,13,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,618.474,5533.73,5485.828,5373.592,True,True,True,65536,sequential,14,1
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,5580.613,5631.572,96.098,49.933,True,True,True,65536,sequential,14,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1136,5676.341,5727.882,96.126,50.464,True,True,True,65536,sequential,14,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,5772.976,5824.499,96.414,50.599,True,True,True,65536,sequential,14,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1133,5869.479,5921.134,96.428,50.6,True,True,True,65536,sequential,14,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,985.797,5797.8,5750.105,5638.009,True,True,True,65536,multiplexed,14,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1137,160.515,351.151,245.294,189.449,True,True,True,65536,multiplexed,14,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1138,161.554,312.423,204.056,149.834,True,True,True,65536,multiplexed,14,2
